Dataset,Run ID,Treatment,Best Model,TP Rate - Best,FP Rate - Best,Precision - Best,Recall - Best,ROC Area - Best,Kappa - Best,TP Rate - RandomForest,FP Rate - RandomForest,Precision - RandomForest,Recall - RandomForest,ROC Area- RandomForest,Kappa - RandomForest
Ant,39,Oversampling,meta.AdaBoostM1,0.787878788,0.331034483,0.419354839,0.787878788,0.796064089,0.349787983,0.560606061,0.151724138,0.528571429,0.560606061,0.801776385,0.400429799
Ant,40,Oversampling,meta.AdaBoostM1,0.810606061,0.337931034,0.421259843,0.810606061,0.791353187,0.357574799,0.568181818,0.144827586,0.543478261,0.568181818,0.800696621,0.416756673
Ant,41,Oversampling,meta.AdaBoostM1,0.666666667,0.218390805,0.480874317,0.666666667,0.807244862,0.395109484,0.590909091,0.167816092,0.516556291,0.590909091,0.795715778,0.402895594
Ant,42,Oversampling,meta.AdaBoostM1,0.787878788,0.268965517,0.470588235,0.787878788,0.804231975,0.420233134,0.606060606,0.156321839,0.540540541,0.606060606,0.800626959,0.431521957
Ant,43,Oversampling,meta.AdaBoostM1,0.666666667,0.16091954,0.556962025,0.666666667,0.802560084,0.473280203,0.575757576,0.142528736,0.550724638,0.575757576,0.799799721,0.426477395
Ant,44,Oversampling,meta.AdaBoostM1,0.727272727,0.264367816,0.454976303,0.727272727,0.798066876,0.383060594,0.575757576,0.142528736,0.550724638,0.575757576,0.806234761,0.426477395
Ant,45,Oversampling,meta.AdaBoostM1,0.78030303,0.264367816,0.472477064,0.78030303,0.816936607,0.42051697,0.560606061,0.137931034,0.552238806,0.560606061,0.797901428,0.420456317
Ant,46,Oversampling,meta.AdaBoostM1,0.78030303,0.264367816,0.472477064,0.78030303,0.788888889,0.42051697,0.628787879,0.167816092,0.532051282,0.628787879,0.79925984,0.433520047
Ant,47,Oversampling,meta.AdaBoostM1,0.803030303,0.266666667,0.477477477,0.803030303,0.823902821,0.433438885,0.583333333,0.142528736,0.553956835,0.583333333,0.800130617,0.432810937
Ant,48,Oversampling,meta.AdaBoostM1,0.674242424,0.27816092,0.423809524,0.674242424,0.783751306,0.328480437,0.606060606,0.137931034,0.571428571,0.606060606,0.801706722,0.458452722
Ant,49,Oversampling,meta.AdaBoostM1,0.681818182,0.232183908,0.471204188,0.681818182,0.793295019,0.389068469,0.598484848,0.126436782,0.589552239,0.598484848,0.811224312,0.469570189
Ant,50,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.797378962,0.498327759,0.598484848,0.156321839,0.537414966,0.598484848,0.805181122,0.425329815
Ant,51,Oversampling,meta.AdaBoostM1,0.765151515,0.236781609,0.495098039,0.765151515,0.78697318,0.444020021,0.568181818,0.140229885,0.551470588,0.568181818,0.808951585,0.423482577
Ant,52,Oversampling,meta.AdaBoostM1,0.659090909,0.234482759,0.46031746,0.659090909,0.782976315,0.369098712,0.560606061,0.154022989,0.524822695,0.560606061,0.785109718,0.397152262
Ant,53,Oversampling,meta.AdaBoostM1,0.803030303,0.262068966,0.481818182,0.803030303,0.821125044,0.439026459,0.606060606,0.15862069,0.536912752,0.606060606,0.79851968,0.428232117
Ant,54,Oversampling,meta.AdaBoostM1,0.704545455,0.287356322,0.426605505,0.704545455,0.804162313,0.340033216,0.606060606,0.156321839,0.540540541,0.606060606,0.794566353,0.431521957
Ant,55,Oversampling,meta.AdaBoostM1,0.795454545,0.24137931,0.5,0.795454545,0.817241379,0.459508644,0.575757576,0.170114943,0.506666667,0.575757576,0.795106235,0.387251234
Ant,56,Oversampling,meta.AdaBoostM1,0.803030303,0.271264368,0.473214286,0.803030303,0.793608499,0.427898764,0.575757576,0.167816092,0.510067114,0.575757576,0.802168234,0.390429282
Ant,57,Oversampling,meta.AdaBoostM1,0.803030303,0.266666667,0.477477477,0.803030303,0.81864333,0.433438885,0.537878788,0.165517241,0.496503497,0.537878788,0.792720307,0.361859308
Ant,58,Oversampling,meta.AdaBoostM1,0.772727273,0.257471264,0.476635514,0.772727273,0.809421804,0.423607233,0.53030303,0.154022989,0.510948905,0.53030303,0.79243295,0.371380688
Ant,59,Oversampling,meta.AdaBoostM1,0.803030303,0.285057471,0.460869565,0.803030303,0.808664228,0.411557142,0.560606061,0.149425287,0.532374101,0.560606061,0.799050853,0.403724318
Ant,60,Oversampling,meta.AdaBoostM1,0.803030303,0.266666667,0.477477477,0.803030303,0.787939742,0.433438885,0.598484848,0.170114943,0.516339869,0.598484848,0.790865552,0.405881043
Ant,61,Oversampling,meta.AdaBoostM1,0.734848485,0.301149425,0.425438596,0.734848485,0.790822013,0.346048024,0.613636364,0.167816092,0.525974026,0.613636364,0.806879136,0.421361908
Ant,62,Oversampling,meta.AdaBoostM1,0.765151515,0.28045977,0.452914798,0.765151515,0.795567746,0.39084915,0.568181818,0.151724138,0.531914894,0.568181818,0.791858238,0.406797826
Ant,63,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.799399164,0.498327759,0.598484848,0.137931034,0.568345324,0.598484848,0.815691397,0.452202016
Ant,64,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.794705677,0.498327759,0.590909091,0.163218391,0.523489933,0.590909091,0.795210728,0.4093307
Ant,65,Oversampling,meta.AdaBoostM1,0.803030303,0.266666667,0.477477477,0.803030303,0.790569488,0.433438885,0.515151515,0.137931034,0.53125,0.515151515,0.788200975,0.38124406
Ant,66,Oversampling,meta.AdaBoostM1,0.803030303,0.266666667,0.477477477,0.803030303,0.810161964,0.433438885,0.545454545,0.15862069,0.510638298,0.545454545,0.794609892,0.377861135
Ant,67,Oversampling,meta.AdaBoostM1,0.659090909,0.216091954,0.480662983,0.659090909,0.799869383,0.392282958,0.598484848,0.128735632,0.585185185,0.598484848,0.811720655,0.466060182
Ant,68,Oversampling,meta.AdaBoostM1,0.78030303,0.264367816,0.472477064,0.78030303,0.809761407,0.42051697,0.606060606,0.179310345,0.506329114,0.606060606,0.780477186,0.399354618
Ant,69,Oversampling,meta.AdaBoostM1,0.803030303,0.264367816,0.479638009,0.803030303,0.804763149,0.436226702,0.568181818,0.170114943,0.503355705,0.568181818,0.804980843,0.380978573
Ant,70,Oversampling,meta.AdaBoostM1,0.803030303,0.266666667,0.477477477,0.803030303,0.787521769,0.433438885,0.553030303,0.144827586,0.536764706,0.553030303,0.797143852,0.403939613
Ant,71,Oversampling,meta.AdaBoostM1,0.681818182,0.257471264,0.445544554,0.681818182,0.79789272,0.358191841,0.568181818,0.142528736,0.547445255,0.568181818,0.799233716,0.420110868
Ant,72,Oversampling,meta.AdaBoostM1,0.636363636,0.131034483,0.595744681,0.636363636,0.799573319,0.4936079,0.628787879,0.149425287,0.560810811,0.628787879,0.802168234,0.459945859
Ant,73,Oversampling,meta.AdaBoostM1,0.734848485,0.296551724,0.42920354,0.734848485,0.793216649,0.351195211,0.598484848,0.149425287,0.548611111,0.598484848,0.789446186,0.435278031
Ant,74,Oversampling,meta.AdaBoostM1,0.78030303,0.264367816,0.472477064,0.78030303,0.818094741,0.42051697,0.560606061,0.140229885,0.548148148,0.560606061,0.79469697,0.417074878
Ant,75,Oversampling,meta.AdaBoostM1,0.757575758,0.250574713,0.4784689,0.757575758,0.815961338,0.421390885,0.568181818,0.163218391,0.51369863,0.568181818,0.790421456,0.390537613
Ant,76,Oversampling,meta.AdaBoostM1,0.727272727,0.268965517,0.450704225,0.727272727,0.797326715,0.377607025,0.575757576,0.179310345,0.493506494,0.575757576,0.777063741,0.374697546
Ant,77,Oversampling,meta.AdaBoostM1,0.787878788,0.259770115,0.479262673,0.787878788,0.824616858,0.431366692,0.553030303,0.167816092,0.5,0.553030303,0.78607628,0.371491913
Ant,78,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.806765935,0.498327759,0.560606061,0.140229885,0.548148148,0.560606061,0.804745733,0.417074878
Ant,79,Oversampling,meta.AdaBoostM1,0.78030303,0.232183908,0.504901961,0.78030303,0.833342041,0.460616438,0.537878788,0.12183908,0.572580645,0.537878788,0.803996865,0.425010675
Ant,80,Oversampling,meta.AdaBoostM1,0.727272727,0.257471264,0.461538462,0.727272727,0.815473703,0.391330838,0.583333333,0.179310345,0.496774194,0.583333333,0.788070359,0.380907815
Ant,81,Oversampling,meta.AdaBoostM1,0.674242424,0.144827586,0.585526316,0.674242424,0.799381749,0.502878412,0.575757576,0.154022989,0.531468531,0.575757576,0.791205155,0.409839811
Ant,82,Oversampling,meta.AdaBoostM1,0.787878788,0.268965517,0.470588235,0.787878788,0.819845002,0.420233134,0.553030303,0.154022989,0.521428571,0.553030303,0.785231627,0.390759312
Ant,83,Oversampling,meta.AdaBoostM1,0.78030303,0.264367816,0.472477064,0.78030303,0.817032393,0.42051697,0.560606061,0.174712644,0.493333333,0.560606061,0.806522118,0.368397426
Ant,84,Oversampling,meta.AdaBoostM1,0.659090909,0.2,0.5,0.659090909,0.816805991,0.413291943,0.590909091,0.147126437,0.549295775,0.590909091,0.801410658,0.43237465
Ant,85,Oversampling,meta.AdaBoostM1,0.689393939,0.172413793,0.548192771,0.689393939,0.820881226,0.474421058,0.575757576,0.151724138,0.535211268,0.575757576,0.791440265,0.413133113
Ant,86,Oversampling,meta.AdaBoostM1,0.553030303,0.110344828,0.603305785,0.553030303,0.799494949,0.455917566,0.575757576,0.154022989,0.531468531,0.575757576,0.785318704,0.409839811
Ant,87,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.804371299,0.498327759,0.590909091,0.151724138,0.541666667,0.590909091,0.802681992,0.425706472
Ant,88,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.79992163,0.498327759,0.560606061,0.154022989,0.524822695,0.560606061,0.793965517,0.397152262
Ant,89,Oversampling,meta.AdaBoostM1,0.727272727,0.268965517,0.450704225,0.727272727,0.795463253,0.377607025,0.598484848,0.12183908,0.598484848,0.598484848,0.809796238,0.476645768
Ant,90,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.799285963,0.498327759,0.606060606,0.163218391,0.529801325,0.606060606,0.79227621,0.421702032
Ant,91,Oversampling,meta.AdaBoostM1,0.78030303,0.266666667,0.470319635,0.78030303,0.814620341,0.417744917,0.606060606,0.183908046,0.5,0.606060606,0.791292233,0.39311083
Ant,92,Oversampling,meta.AdaBoostM1,0.583333333,0.105747126,0.62601626,0.583333333,0.800278649,0.489202858,0.628787879,0.170114943,0.52866242,0.628787879,0.800679206,0.430290406
Ant,93,Oversampling,meta.AdaBoostM1,0.787878788,0.264367816,0.474885845,0.787878788,0.824599443,0.425776021,0.583333333,0.165517241,0.516778523,0.583333333,0.793033786,0.399879991
Ant,94,Oversampling,meta.AdaBoostM1,0.712121212,0.271264368,0.443396226,0.712121212,0.811563915,0.364020708,0.545454545,0.15862069,0.510638298,0.545454545,0.796316614,0.377861135
Ant,95,Oversampling,meta.AdaBoostM1,0.598484848,0.108045977,0.626984127,0.598484848,0.809500174,0.498327759,0.522727273,0.131034483,0.547619048,0.522727273,0.786912226,0.397993311
Ant,96,Oversampling,meta.AdaBoostM1,0.795454545,0.245977011,0.495283019,0.795454545,0.810510275,0.453710095,0.583333333,0.135632184,0.566176471,0.583333333,0.808202717,0.44302554
