"Original.Release","Order","Release","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,46,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,54,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,20,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,55,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,40,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,NA,0,0,0,0,0,0,0,47,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,NA,0,0,0,0,0,0,0,126,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,NA,0,0,0,0,0,0,0,57,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,NA,0,0,0,0,0,0,0,24,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,29,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,37,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,99,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,52,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,55,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,49,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,57,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,26,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,24,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,15,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,NA,0,0,0,0,0,0,0,5,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,39,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,20,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,28,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,44,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,14,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,16,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,39,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,89,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,44,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,29,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,43,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,61,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,61,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,88,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,22,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,81,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,25,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,48,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,101,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,120,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,19,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,22,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,46,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,40,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,NA,0,0,0,0,0,0,0,56,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,29,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,55,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,52,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,38,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,48,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,34,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,35,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,111,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,121,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,62,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,145,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,36,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,81,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,NA,0,0,0,0,0,0,0,65,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,NA,0,0,0,0,0,0,0,94,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,NA,0,0,0,0,0,0,0,83,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,NA,0,0,0,0,0,0,0,59,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,NA,0,0,0,0,0,0,0,51,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,NA,0,0,0,0,0,0,0,31,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,NA,0,0,0,0,0,0,0,92,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,NA,0,0,0,0,0,0,0,149,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,NA,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,14,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,35,TRUE
