NR	NREF	NFIX	NAUTH	LINES_SUM	LINES_MAX	LINES_AVG	CHURN_SUM	CHURN_MAX	CHURN_AVG	CHGSET_SUM	CHGSET_MAX	CHGSET_AVG	AGE	AGE_WEIGHTED	Impl	LOC.A	LOC.M	LOC.D	Size	Violations.Injected	Violations	Size.Next	Faultiness
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	693	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	669	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	649	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	23	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	44	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	45	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	35	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	20	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	0	41	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	0	54	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-53	0	0	0	0	0	0	0	0	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-53	0	0	0	0	0	0	0	0	105	TRUE
8	0	2	0	0	0	0	0	0	0	0	0	0	57	13	0	0	0	0	0	2	3	21	TRUE
13	0	3	1	35	35	35	35	35	35	4	2	1	57	20	1	35	37	0	78	0	0	71	FALSE
8	0	0	0	0	0	0	0	0	0	0	0	0	57	16	0	0	0	0	0	12	13	12	FALSE
5	0	0	0	0	0	0	0	0	0	0	0	0	57	9	0	0	0	0	0	0	0	7	FALSE
3	0	0	1	18	18	18	18	18	18	2	2	2	57	20	1	18	0	0	26	0	0	39	FALSE
6	0	2	1	9	9	9	9	9	9	1	1	1	57	32	1	9	0	0	16	0	0	19	FALSE
57	0	23	2	0	0	0	0	0	0	4	3	2	57	22	1	0	2	0	10	0	0	129	TRUE
2	0	0	0	0	0	0	0	0	0	0	0	0	57	9	0	0	0	0	0	0	0	38	TRUE
27	0	9	1	0	0	0	0	0	0	7	7	7	57	9	1	0	1	0	7	0	0	80	TRUE
27	0	2	1	0	0	0	0	0	0	3	3	3	57	21	0	0	0	0	0	0	33	79	FALSE
40	0	7	1	3	3	3	3	3	3	7	7	7	57	20	1	3	1	0	18	0	61	56	FALSE
9	0	0	0	0	0	0	0	0	0	0	0	0	57	13	0	0	0	0	0	0	12	131	FALSE
8	0	1	1	120	120	120	120	120	120	9	6	4	57	14	1	120	1	0	137	5	9	50	FALSE
2	0	0	0	0	0	0	0	0	0	0	0	0	56	8	0	0	0	0	0	0	0	67	FALSE
11	0	1	1	10	10	10	10	10	10	1	1	1	56	9	1	10	1	0	19	2	12	13	FALSE
8	0	0	1	26	26	13	26	26	13	6	4	3	55	12	2	26	3	0	25	0	14	86	FALSE
41	0	17	2	245	109	30	-33	-45	-4	61	11	4	54	12	8	106	58	139	54	37	43	50	TRUE
147	0	55	3	1210	255	45	178	45	7	132	11	3	54	21	26	694	369	516	99	0	0	23	TRUE
32	0	8	1	63	36	10	27	18	4	24	6	3	54	14	6	45	14	18	26	0	0	26	FALSE
7	0	0	1	0	0	0	0	0	0	2	1	1	49	18	2	0	20	0	52	0	0	28	FALSE
6	0	1	1	0	0	0	0	0	0	2	2	2	49	27	0	0	0	0	0	1	1	169	FALSE
7	0	1	1	0	0	0	0	0	0	2	2	2	49	18	0	0	0	0	0	3	3	16	FALSE
3	0	2	1	0	0	0	0	0	0	3	3	3	43	13	0	0	0	0	0	3	3	34	FALSE
8	0	3	0	0	0	0	0	0	0	0	0	0	43	19	0	0	0	0	0	0	0	14	FALSE
15	0	7	1	0	0	0	0	0	0	7	7	7	42	12	1	0	4	0	20	0	0	43	FALSE
12	0	4	0	0	0	0	0	0	0	0	0	0	40	10	0	0	0	0	0	22	27	60	FALSE
38	0	15	1	2	2	2	2	2	2	14	8	4	40	10	1	2	0	0	15	0	0	200	FALSE
14	0	5	1	0	0	0	0	0	0	4	2	1	23	11	0	0	0	0	0	24	30	18	TRUE
3	0	0	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	0	0	87	FALSE
6	0	4	1	0	0	0	0	0	0	3	3	3	23	11	0	0	0	0	0	0	0	35	TRUE
12	0	5	1	0	0	0	0	0	0	2	2	2	23	11	0	0	0	0	0	0	0	23	FALSE
4	0	0	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	0	2	165	FALSE
3	0	0	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	0	0	10	FALSE
5	0	3	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	2	8	17	FALSE
5	0	1	1	102	102	102	102	102	102	10	6	5	23	11	1	102	2	0	122	2	10	23	FALSE
11	0	2	1	30	20	4	-10	-4	-2	44	11	4	23	11	6	10	18	20	20	7	10	44	FALSE
7	0	3	0	0	0	0	0	0	0	0	0	0	21	8	0	0	0	0	0	0	0	113	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	21	8	0	0	0	0	0	0	0	21	FALSE
4	0	1	0	0	0	0	0	0	0	0	0	0	21	8	0	0	0	0	0	12	19	61	FALSE
9	0	3	1	7	6	3	7	6	3	13	7	6	21	8	2	7	1	0	15	0	0	32	TRUE
17	0	5	2	182	94	15	-34	-20	-3	78	11	4	12	0	12	74	102	108	51	0	0	37	FALSE
2	0	0	1	174	158	87	174	158	87	5	3	2	10	0	2	174	0	0	92	6	6	83	FALSE
1	0	0	1	147	147	147	147	147	147	3	3	3	10	0	1	147	0	0	149	0	0	18	FALSE
1	0	0	1	19	19	19	19	19	19	3	3	3	10	0	1	19	0	0	21	0	0	20	FALSE
3	0	1	1	49	45	24	49	45	24	15	10	5	10	0	2	49	4	0	35	0	0	38	FALSE
8	0	3	2	124	101	24	96	83	20	26	10	3	10	0	5	110	13	14	42	0	0	9	FALSE
2	0	0	1	208	116	104	204	112	102	11	10	5	10	0	2	206	24	2	140	0	0	34	FALSE
1	0	0	1	97	97	97	97	97	97	2	2	2	10	0	1	97	0	0	100	5	5	40	FALSE
3	0	0	1	239	227	79	215	207	71	12	6	4	9	0	3	227	2	12	95	4	4	55	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	94	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	10	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	82	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	650	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	680	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	652	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	689	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	693	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	669	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	649	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	23	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	44	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	45	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	35	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	20	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	41	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-14	0	0	0	0	0	0	0	0	54	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-40	0	0	0	0	0	0	0	0	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-41	0	0	0	0	0	0	0	0	105	TRUE
8	0	2	0	0	0	0	0	0	0	0	0	0	72	13	0	0	0	0	0	0	3	21	TRUE
8	0	0	0	0	0	0	0	0	0	0	0	0	72	16	0	0	0	0	0	0	13	12	FALSE
5	0	0	0	0	0	0	0	0	0	0	0	0	72	9	0	0	0	0	0	0	0	7	FALSE
6	0	2	0	0	0	0	0	0	0	0	0	0	72	34	0	0	0	0	0	0	0	19	FALSE
57	0	23	0	0	0	0	0	0	0	0	0	0	72	22	0	0	0	0	0	0	0	129	TRUE
28	0	2	1	52	52	52	52	52	52	2	2	2	72	21	1	52	1	0	79	6	39	142	FALSE
9	0	0	0	0	0	0	0	0	0	0	0	0	71	13	0	0	0	0	0	0	12	131	FALSE
2	0	0	0	0	0	0	0	0	0	0	0	0	71	8	0	0	0	0	0	0	0	67	FALSE
11	0	1	0	0	0	0	0	0	0	0	0	0	71	10	0	0	0	0	0	0	12	13	FALSE
8	0	0	0	0	0	0	0	0	0	0	0	0	70	16	0	0	0	0	0	0	14	86	FALSE
50	0	24	1	31	22	15	31	22	15	13	3	1	69	33	2	31	7	0	50	2	45	13	TRUE
156	0	57	1	48	28	6	34	18	4	18	6	2	69	30	7	41	18	7	23	0	0	97	TRUE
33	0	9	1	0	0	0	0	0	0	3	3	3	69	20	0	0	0	0	0	0	0	26	FALSE
7	0	0	0	0	0	0	0	0	0	0	0	0	64	18	0	0	0	0	0	0	0	28	FALSE
6	0	1	0	0	0	0	0	0	0	0	0	0	63	27	0	0	0	0	0	0	1	169	FALSE
7	0	1	0	0	0	0	0	0	0	0	0	0	63	18	0	0	0	0	0	0	3	16	FALSE
8	0	3	0	0	0	0	0	0	0	0	0	0	57	19	0	0	0	0	0	0	0	14	FALSE
15	0	7	0	0	0	0	0	0	0	0	0	0	57	12	0	0	0	0	0	0	0	43	FALSE
39	0	15	1	151	151	151	141	141	141	6	6	6	55	10	1	146	2	5	200	0	0	9	FALSE
15	0	6	1	0	0	0	0	0	0	1	1	1	38	11	0	0	0	0	0	0	30	18	TRUE
3	0	0	0	0	0	0	0	0	0	0	0	0	38	11	0	0	0	0	0	0	0	87	FALSE
6	0	4	0	0	0	0	0	0	0	0	0	0	38	11	0	0	0	0	0	0	0	35	TRUE
13	0	5	1	9	9	9	9	9	9	1	1	1	38	11	1	9	0	0	23	0	0	135	TRUE
4	0	0	0	0	0	0	0	0	0	0	0	0	38	11	0	0	0	0	0	0	2	165	FALSE
6	0	3	1	2	2	2	2	2	2	2	2	2	38	11	1	2	1	0	17	0	8	14	TRUE
7	0	3	0	0	0	0	0	0	0	0	0	0	35	8	0	0	0	0	0	0	0	113	FALSE
1	0	0	0	0	0	0	0	0	0	0	0	0	35	8	0	0	0	0	0	0	0	21	FALSE
4	0	1	0	0	0	0	0	0	0	0	0	0	35	8	0	0	0	0	0	0	19	61	FALSE
9	0	3	0	0	0	0	0	0	0	0	0	0	35	8	0	0	0	0	0	0	0	32	TRUE
17	0	5	0	0	0	0	0	0	0	0	0	0	26	12	0	0	0	0	0	0	0	37	FALSE
3	0	0	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0	4	55	FALSE
1	0	0	1	1212	1212	1212	1212	1212	1212	24	24	24	1	0	1	1212	0	0	1279	0	0	7	FALSE
2	0	0	1	1225	1212	612	1225	1212	612	36	24	18	1	0	2	1225	0	0	650	0	0	154	FALSE
2	0	0	1	1270	1212	635	1270	1212	635	36	24	18	1	0	2	1270	0	0	680	0	0	22	FALSE
1	0	0	1	1212	1212	1212	1212	1212	1212	24	24	24	1	0	1	1212	0	0	1279	0	0	32	FALSE
1	0	0	1	1212	1212	1212	1212	1212	1212	24	24	24	1	0	1	1212	0	0	1279	0	0	12	FALSE
1	0	0	1	1212	1212	1212	1212	1212	1212	24	24	24	1	0	1	1212	0	0	1279	0	0	12	FALSE
2	0	0	1	1282	1229	640	1248	1195	624	36	24	18	1	0	2	1265	13	17	689	0	0	97	FALSE
2	0	0	1	1266	1212	633	1266	1212	633	36	24	18	1	0	2	1266	8	0	693	0	0	102	FALSE
1	0	0	1	1212	1212	1212	1212	1212	1212	24	24	24	1	0	1	1212	0	0	1279	0	0	7	FALSE
1	0	0	1	43	43	43	43	43	43	12	12	12	1	0	1	43	0	0	45	0	0	24	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	9	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	105	TRUE
