@relation 'Keymind - BA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
0,0,0,0,-19,15,20,FALSE
0,0,0,0,-19,15,26,FALSE
0,0,0,0,-19,0,16,FALSE
0,0,0,0,-19,0,11,FALSE
0,0,0,0,-19,0,20,FALSE
0,0,0,0,-19,18,27,FALSE
0,0,0,0,-19,2,23,FALSE
0,0,0,0,-19,1,11,FALSE
0,0,0,0,-19,0,67,FALSE
0,0,0,0,-19,0,9,FALSE
0,0,0,0,-19,0,9,FALSE
0,0,0,0,-19,0,134,FALSE
0,0,0,0,-19,0,57,FALSE
0,0,0,0,-19,0,96,FALSE
0,0,0,0,-19,0,11,FALSE
0,0,0,0,-19,0,57,FALSE
0,0,0,0,-19,16,25,FALSE
0,0,0,0,-19,0,95,FALSE
0,0,0,0,-19,0,134,FALSE
0,0,0,0,-19,0,11,FALSE
0,0,0,0,-19,0,129,FALSE
0,0,0,0,-19,0,250,FALSE
0,0,0,0,-19,0,466,FALSE
0,0,0,0,-19,0,248,FALSE
0,0,0,0,-19,0,466,FALSE
0,0,0,0,-19,0,466,FALSE
0,0,0,0,-19,0,152,FALSE
0,0,0,0,-19,0,2680,FALSE
0,0,0,0,-19,0,251,FALSE
0,0,0,0,-19,0,466,FALSE
0,0,0,0,-19,0,239,FALSE
0,0,0,0,-19,0,248,FALSE
0,0,0,0,-19,0,128,FALSE
0,0,0,0,-19,0,17,FALSE
0,0,0,0,-19,0,26,FALSE
0,0,0,0,-19,0,40,FALSE
0,0,0,0,-19,0,30,FALSE
0,0,0,0,-19,0,102,FALSE
0,0,0,0,-20,0,58,FALSE
0,0,0,0,-41,12,22,FALSE
0,0,0,0,-41,2,12,FALSE
0,0,0,0,-41,19,12,FALSE
0,0,0,0,-41,0,11,FALSE
0,0,0,0,-41,0,9,FALSE
0,0,0,0,-41,3,43,FALSE
0,0,0,0,-43,4,9,FALSE
0,0,0,0,-43,3,9,FALSE
0,0,0,0,-43,0,100,FALSE
0,0,0,0,-43,0,47,FALSE
0,0,0,0,-43,0,145,FALSE
0,0,0,0,-43,0,89,FALSE
0,0,0,0,-43,0,53,FALSE
0,0,0,0,-43,0,143,FALSE
0,0,0,0,-43,0,21,FALSE
0,0,0,0,-43,0,115,FALSE
0,0,0,0,-44,6,9,FALSE
3,1,0,0,45,43,98,FALSE
4,4,0,0,45,5,35,TRUE
33,20,2,2,45,88,232,TRUE
5,3,0,0,45,59,90,FALSE
16,10,0,0,45,0,9,FALSE
17,5,0,0,44,0,11,FALSE
6,1,0,0,44,0,11,FALSE
7,4,0,0,44,110,54,FALSE
4,1,0,0,44,0,16,FALSE
3,3,0,0,44,78,44,FALSE
6,1,0,0,44,66,50,FALSE
6,2,0,0,44,95,32,TRUE
14,4,0,0,44,0,26,TRUE
12,4,0,0,44,64,144,TRUE
8,3,9,9,44,47,16,FALSE
9,3,0,0,44,0,20,TRUE
2,1,0,0,44,33,12,TRUE
1,0,0,0,43,17,10,TRUE
2,1,0,0,43,0,11,FALSE
3,2,0,0,43,0,9,FALSE
2,1,0,0,43,0,12,FALSE
3,1,0,0,43,0,10,FALSE
6,2,0,0,43,15,16,FALSE
2,1,0,0,43,7,10,FALSE
5,1,0,0,43,0,28,FALSE
4,1,0,0,43,0,35,FALSE
7,1,0,0,43,16,19,FALSE
2,2,0,0,43,0,9,FALSE
10.239725,4,0,0,26.704507,4.88291,28.65491,TRUE
4.481728,3.455445,0,0,20.01309,4.076465,34.925209,TRUE
4.48626,3.512485,0,0,23.349793,0.771722,32.154214,TRUE
4,4,0,0,21.068958,5.479356,31.737616,TRUE
4,4,0,0,24.418536,5.205793,34.082299,TRUE
4,4,0,0,26.715137,5,35,TRUE
4,4,0,0,24.780318,7.075147,32.36637,TRUE
25.702653,14.176358,134.943874,30.249328,23.033794,16.8888,22.455276,TRUE
21.251546,13.829802,215.715486,29.915407,22.268301,59.835707,16.410461,TRUE
19.300649,3.193468,387.935276,15.682757,23.352038,75.364274,25.745729,TRUE
24.416034,17.048261,210.697731,28.479725,23.948417,63.726679,30.786967,TRUE
24.399968,10.148212,145.828591,30.277358,23.204103,60.879967,14.841819,TRUE
18.665001,8.37245,56.898274,11.102266,23.418297,13.443934,28.45348,TRUE
14,7,-165.002031,-5.904488,25.7108,0,11,TRUE
14,5.369743,-140.498712,-0.065001,26.127062,0,23.810747,TRUE
8.533984,5.738309,-171.692905,-13.724787,21.41606,0,14.013126,TRUE
14,7,-14.804148,-6.86934,26.574847,0,11,TRUE
14,4.358204,-65.049346,-1.777657,24.590068,0,13.364459,TRUE
11.174924,7.049864,-18.248745,-17.692001,22.404874,0,10.164729,TRUE
14,5.720671,-105.50194,-6.405961,25.095917,0,15.840038,TRUE
3.479732,4.968025,29.727663,4.402521,23.732102,61.469369,12.758127,TRUE
8.135698,2.655936,12.641175,3.017383,23.760894,81.129532,17.213773,TRUE
6.400396,4.316557,7.593418,7.748736,23.623574,57.833415,20.831203,TRUE
7.304067,4.297192,17.211386,1.36247,23.398085,64.258478,13.179797,TRUE
9,5,13.039772,3.828826,25.6303,70,15,TRUE
7.833812,4.204261,29.996442,2.641718,24.223084,85.228527,18.03726,TRUE
9,5,16.755173,1.127721,24.389741,70,15,TRUE
7.783893,4.429669,21.783654,4.744907,23.053093,79.845245,20.41405,TRUE
8.655852,2.5675,22.484399,6.293915,23.313954,94.980775,30.199088,TRUE
6,2,2.210757,2.533264,24.813617,95,32,TRUE
8.238591,3.634351,26.128736,7.397009,23.366166,78.060131,24.280726,TRUE
6.156962,3.409861,2.163811,0.092708,24.749928,88.177839,31.809115,TRUE
7.710266,2.11964,18.843669,3.486863,23.226457,83.465639,16.177531,TRUE
9.27449,4.027574,66.177678,11.273067,23.938539,6.570097,15.443495,TRUE
12.982713,4,175.923005,21.132065,23,10.167328,68.559518,TRUE
13.76072,4,176.686381,17.28435,23,23.551768,130.103753,TRUE
4.905693,3.434498,62.65589,30.219903,22.714447,11.963692,11.000446,TRUE
6.923533,1.192756,145.654191,23.946655,22.960206,4.237844,13.253099,TRUE
11.591988,4.718146,44.480378,13.173678,23.993933,63.28077,16.061005,TRUE
11.594561,3.934252,156.397075,8.067617,23,0,23.901316,TRUE
