@relation Keymind-AA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute CHGSET_SUM numeric
@attribute AGE numeric
@attribute Size.Next numeric
@attribute Faultiness {TRUE,FALSE}

@data
0,-7.519236,55.404107,TRUE
0,-6.521628,39.12471,TRUE
0,-8.565478,37.829012,TRUE
0,-7.148078,46.950866,TRUE
0,-6.565693,44.518977,TRUE
0,-9.542937,124.203307,TRUE
0,-7.388563,55.585367,TRUE
0,-26.573106,44.271202,TRUE
0,-24.007199,38.737413,TRUE
0,-27.737985,44.693564,TRUE
0,-24.940862,44.190284,TRUE
0,-21.508102,60.104556,TRUE
0,-14.69082,88,TRUE
0,-27.165306,82.949956,TRUE
0,-25,82.389405,TRUE
0,-26.599151,81,TRUE
0,-15.65464,120,TRUE
0,-26.588874,120.721356,TRUE
0,-27.341088,26.355159,TRUE
0,-23.951316,27.11824,TRUE
0,-21.588484,43.575686,TRUE
0,-34.919329,55.396305,TRUE
0,-36.270953,57.600939,TRUE
0,-28,52.712254,TRUE
0,-26.371081,39.628321,TRUE
0,-28,48.564569,TRUE
0,-25.923064,38.671431,TRUE
0,-24.211728,35.375693,TRUE
0,-28,34.065676,TRUE
0,-27.82626,36.116495,TRUE
0,-24.857006,111,TRUE
0,-28,120.167131,TRUE
0,-28,118.208027,TRUE
0,-20.012404,121,TRUE
0,-26.742285,129.977052,TRUE
0,-26.524492,63.983567,TRUE
0,-19.343574,81,TRUE
0,-36.170956,56.014748,TRUE
0,-30.245847,56.473309,TRUE
0,-28.338661,50.867433,TRUE
0,-33.356149,51.309898,TRUE
0,-29.949871,35,TRUE
0,-32.693331,37.407953,TRUE
0,-34.045786,39.009369,TRUE
0,-38.906595,30.00502,TRUE
0,-35.960676,28.035479,TRUE
0,-82.647178,105,TRUE
0,-39.285064,109.736462,TRUE
0,26.758601,51.828913,TRUE
29.632413,25.960681,57.784823,TRUE
39.07824,9.690837,65.443578,TRUE
6.043915,24.400994,38.492186,TRUE
12.266394,26.632318,23.050108,TRUE
19.836605,25.576878,23.267132,TRUE
31.288372,31.280999,14.184014,TRUE
35.233036,9.612957,44.90991,TRUE
8.453809,6.345184,146.094138,TRUE
15.527739,26,145.913315,TRUE
12.89168,21.632844,139.444729,TRUE
2.148795,24.323443,42.028314,TRUE
11.141792,24.87781,24.939512,TRUE
6.547288,25,25.736202,TRUE
38.349654,24.709236,43.008169,TRUE
37.13236,26.877583,54.654492,TRUE
1.132164,25,41.349446,TRUE
5.715718,23.610022,30.564621,TRUE
48.910105,10.162225,33.59486,TRUE
41.888846,24.323056,41.060754,TRUE
93.785371,22.400856,27.060806,TRUE
75.154691,23.115982,27.919543,TRUE
48.933367,24,35.202674,TRUE
87.348951,19.161821,82.276807,TRUE
71.715247,15.6649,73.08142,TRUE
19.616904,23.068765,22.099652,TRUE
2.78314,23.19607,40.021874,TRUE
3.962431,25.680754,40.632385,TRUE
0,22.832861,49.56777,TRUE
0,22.783569,52.068835,TRUE
41.676223,11.472466,28.480393,TRUE
56.62481,17.418989,33.532132,TRUE
71.943159,17.377973,34.321989,TRUE
2.048459,-1.21469,81.260079,TRUE
12.586563,7.644213,80.414701,TRUE
18.593812,10.175787,45.915009,TRUE
20.370821,9.806361,47,TRUE
93.046863,12.466898,59.318183,TRUE
73.79249,9.623042,80.94419,TRUE
0,-6.86617,43.814455,TRUE
0,-4.479383,38.963236,TRUE
0,-6,39.18412,TRUE
0,-6.875228,44.216521,TRUE
0,-9.598135,55.291703,TRUE
0,-8.497686,87.616632,TRUE
0,-7,85.245177,TRUE
0,-7,84.386968,TRUE
0,-22.895227,120.661319,TRUE
0,-23.098525,120,TRUE
0,-5.054434,23.130624,TRUE
0,-6.315608,45.930198,TRUE
0,-7.71919,46.31415,TRUE
0,-8.563052,54.764564,TRUE
0,-8.072889,54.415209,TRUE
0,-10,36.368731,TRUE
0,-10,36.104415,TRUE
0,-9.680085,46.552728,TRUE
0,-8.076411,46.359883,TRUE
0,-10,34.207439,TRUE
0,-7.631087,38.126009,TRUE
0,-7.920533,38.198864,TRUE
0,-17.706698,115.03039,TRUE
0,-10,113.260694,TRUE
0,-7.918065,125.783407,TRUE
0,-21.467478,145,TRUE
0,-7.388516,83.951572,TRUE
0,-16.333441,58.647184,TRUE
0,-19.482598,50.919367,TRUE
0,-19,53.252925,TRUE
0,-21,37.6562,TRUE
0,-22.746685,43.437139,TRUE
0,-22.596474,32.309379,TRUE
0,-23.7867,29.000009,TRUE
0,-81.520041,105,TRUE
0,-57.095094,105.94538,TRUE
0.652508,45,30.019916,TRUE
2.175323,33.902291,21.513981,TRUE
2.9648,37.764921,75.07388,TRUE
24.472096,36.720424,18.990021,TRUE
37.035258,44.616904,13.196144,TRUE
30.124452,31.130506,20.258281,TRUE
1.252168,26.568484,37.191007,TRUE
0,-9.439868,139.760188,TRUE
