"Original.Release","Release","Order","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,466,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,152,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,2680,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,251,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,466,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,239,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,248,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,128,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,17,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,26,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,40,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,30,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,102,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,58,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-45,NA,0,0,0,0,0,12,12,22,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-45,NA,0,0,0,0,0,2,2,12,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-45,NA,0,0,0,0,0,19,19,12,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-45,NA,0,0,0,0,0,0,0,11,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-45,NA,0,0,0,0,0,0,0,9,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-45,NA,0,0,0,0,0,3,3,43,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,4,4,9,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,3,3,9,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,0,0,100,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,0,0,47,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,0,0,145,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,0,0,89,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,0,0,143,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,0,0,21,FALSE
